id,Question,A,B,C,D
388,Ðon v? d?u tiên c?a co s? ti?n hoá?,Qu?n th? ,T? bào ,H? sinh thái ,Qu?n xã
389,"C? vây là lo?i c? c?, du?c choi cách dây kho?ng bao nhiêu nam?",4000 nam ,5000 nam ,3000 nam ,2000 nam 
390,"L?n d?u tiên trong l?ch s? Vi?t Nam, tác ph?m nào dã thay th? l?i k?t c?u chuong h?i b?ng k?t c?u theo quy lu?t tâm lý?",T? Tâm,S? Ð? ,B? V? ,Ðáp án khác
391,Nhà sinh v?t h?c ngu?i Ð?c Ernst Haeckel dã d? xu?t thu?t ng? Ecology vào nam nào?,1869,1870,1871,1872
392,Semiramis là tên g?i khác c?a d?a danh nào sau dây?,Vu?n treo Babylon,Ð?o Ph?c sinh,Machu picchu,Lang m? Giza
393,Ti?ng chày trên Sóc Bombo là sáng tác c?a nh?c si nào?,Xuân H?ng ,Lu Nh?t Vu ,Ánh Duong ,Thu?n Y?n
394,Hình th?c sinh s?n nào không có ? n?m?,B?o t? h?u tính ,Phân dôi ,N?y ch?i,B?o t? vô tính 
395,Co s? v?t ch?t ch? y?u c?a s? s?ng là gì?,Protein và Axit nucleic,Protein ,Axit nucleic,Cacbohydrat 
396,Ai là ngu?i d?u tiên ch? t?o súng d?i bác cho dân t?c ta?,H? Nguyên Tr?ng,M?c Ðinh Chi,Nguy?n Trãi,Tr?n Nh?t Du?t 
397,Linh T? Qu?c M?u là m? c?a v? vua nào nu?c ta?,Lý Chiêu Hoàng ,Quang Trung ,Hàm Nghi ,B?o Ð?i 
398,B?n cho bi?t cha d? c?a trò choi di?n t? - m?t lo?i trò choi r?t ph? bi?n hi?n nay?,Ralph Bear,Bill Gates,Paul Allen,Michael Dell
399,Taj Mahal ? ?n Ð? là?,Lang m? ,Ð?n th? ,Tháp canh ,Cung di?n 
400,Ðu?ng s?t B?c  Nam không di qua t?nh nào trong các t?nh nào sau dây?,Tây Ninh ,Tp. H? Chí Minh ,Ð?ng Nai ,Bình Thu?n 
401,"Theo Hi?n pháp Vi?t Nam, ch? t?ch nu?c có bao nhiêu quy?n h?n?",12,13,14,15
402,Hình th?c sinh s?n nào không có ? vi khu?n?,B?o t? h?u tính ,Phân dôi ,N?y ch?i,B?o t? vô tính 
403,"Nam châu Phi 1960, có bao nhiêu nu?c ? Châu Phi giành du?c d?c l?p dân t?c?",17,6,38,59
404,B?n cho bi?t ai tìm ra v?c xin ch?a b?nh d?i?,Louis Pasteur,Edward Jenner,Hippocrates,Alexandre Yersin
405,B? lu?t H?ng Ð?c du?c xây d?ng và ban hành du?i th?i nào?,Lê Thánh Tông ,Lê Thái T? ,Lê Thái Tông ,Lê Nhân Tông 
406,Ðu?ng s?t B?c  Nam không di qua t?nh nào trong các t?nh nào sau dây?,Lâm Ð?ng,Ninh Thu?n ,Bình Thu?n ,Ð?ng Nai 
407,Hi?p d?nh Chính ph? Pháp còn du?c g?i là n?n C?ng hoà th? m?y?,5,2,3,4
408,"Ðóng gói, ch? bi?n và phân ph?i s?n ph?m là ch?c nang c?a?",B? máy golgy ,L?c l?p ,Ty th? ,Lu?i n?i ch?t
409,H?p ch?t dóng vai trò quan tr?ng nh?t trong sinh s?n và di truy?n là?,Axit nucleic,Protein ,Gluxit,Lipit
410,"Trong l?ch s? t? ch?c các don v? hành chính ? Vi?t Nam, c?p t?nh xu?t hi?n t? khi nào?",1831,1658,1900,1945
411,Cu?c kh?i nghia nông dân tiêu bi?u nh?t ? th? k? XVI là?,Tr?n C?o ,Tây Son ,Tr?n Tuân ,"Lê Hy, Tr?nh Hung "
412,Ai là cha d? c?a ngành vi sinh h?c?,Louis Pasteur,Edward Jenner,Hippocrates,Alexandre Yersin
413,Chi?n th?ng có ý nghia l?n lao c?a nghia quân Tây Son ? Ðàng Trong nam 1785 là chi?n th?ng gì?,Ðánh b?i quân Xiêm ,H? thành Quy Nhon ,Chi?m d?t Gia Ð?nh ,Gi?i phóng Qu?ng Ninh 
414,Ðu?ng bi?n t? H?i Phòng di H?ng Kông dài kho?ng bao nhiêu kilômet?,900Km,90Km ,100Km ,1000Km
415,Ai là ngu?i sáng l?p ra h?c thuy?t v? ch? nghia xã h?i khoa h?c?,Karl Mark,Aristotle,Voltaire,Vladimir Lenin
416,Kho?ng cách m?i múi gi? r?ng kho?ng bao nhiêu?,15 d? kinh tuy?n ,5 d? kinh tuy?n ,10 d? kinh tuy?n ,20 d? kinh tuy?n 
417,C?u trúc c?a phân t? protein có th? b? bi?n tính b?i?,Nhi?t d? ,Nu?c,Cacbonic,Oxi
418,T? sao chép AND c?a sinh v?t nhân chu?n du?c sao chép nhu th? nào?,Nhi?u vòng sao chép ,M?t vòng sao chép ,Hai vòng sao chép ,D?ng m?ch th?ng
419,Ai du?c m?nh danh là ông t? ngành quân gi?i Vi?t Nam?,Cao Th?ng ,Phan Ðình Phùng ,H? Tùng D?u ,Võ Nguyên Giáp
420,Xã h?i phong ki?n Pháp tru?c cách m?ng có m?y d?ng c?p?,3 d?ng c?p ,4 d?ng c?p ,2 d?ng c?p ,Không có d?ng c?p 
421,"NATO là tên vi?t t?t thông d?ng c?a T? ch?c Hi?p u?c B?c Ð?i Tây Duong, l?c lu?ng này ban d?u là do nu?c nào thành l?p?",Canada  M? ,Anh  M? ,Nga  M? ,Anh  Nga 
422,"Tác gi? c?a b? Thu?ng Kinh ký s?, nhà y h?c l?i l?c c?a Vi?t Nam th? k? XVIII là ai?",Lê H?u Trác ,Tu? Tinh ,Ngô Nhân Danh ,Lê Quý Ðôn 
423,Lã Thu?ng là tên g?i khác c?a nhân v?t l?ch s? nào c?a Trung Qu?c?,Khuong T? Nha ,Kh?ng T? ,Lão T? ,M?nh T? 
424,Con sông nào không ph?i sông ? Nam B??,Sông Ðà R?ng ,Sông Ti?n ,Sông H?u,Sông Sài Gòn 
425,Phân t? protein c?u t?o t? chu?i?,Polopeptit,Co b?n ,Nucleoxom,Polinucleotit
426,"Vai trò di?u ch?nh các quá trình sinh lý, sinh hoá c?a các v?t th? s?ng do dâu?",Gen trên ADB,Các ch?t h?u co,"ARN, Protein ",Các ch?t s?ng
427,Nam 1789 don v? do lu?ng qu?c t? nào ra d?i?,Mét ,Giây ,Kilogram ,Jun 
428,Giai c?p tu s?n và vô s?n là hai giai c?p chính c?a xã  h?i nào?,Tu b?n ,Chi?m h?u nô l?,"Nguyên thu?, phong ki?n ",Phong ki?n 
429,Máy phát tinh di?n d?u tiên là phát minh c?a ai?,O. von Guericke,Milikhan,Ampere,Culoumb
430,Khu v?c r?ng l?n t?i B?c M? mà Pháp bán cho M? nam 1803 là noi nào?,Louisiana Purchase,Texas,California,Florida
431,Ch? th? 100 v? khoán s?n ph?m cu?i cùng d?n nhóm và ngu?i lao d?ng ra d?i nam nào?,1981,1980,1982,1983
432,Quá trình làm co s? cho s? di truy?n và sinh s?n là gì?,T? sao AND,Phiên mã di truy?n ,Sao mã ARN,T?ng h?p protein
433,Lo?i lipit nào du?i dây có vai trò c?u trúc màng sinh h?c?,Photpholipit,D?u th?c v?t ,Steroid,M? d?ng v?t 
434,S? hình thành ADN và protein c?a phago di?n ra ? giai do?n?,L?p ráp ,H?p th? ,Xâm nh?p ,Phóng thích
435,Ai là nhà du hành vu tr? N? d?u tiên c?a M??,Sally K. Ride,Bill FitzPatrick,Friedrich Nietzsche,Candly Ann
436,Cu?c cách m?ng tu s?n d?u tiên trên th? gi?i di?n ra ? dâu ?,Anh ,Hà Lan ,Pháp ,M? 
437,C?t thu lôi du?c phát minh vào kho?ng th?i gian nào?,Th? k? XVIII,Th? k? I tru?c CN ,Th? k? X,Th? k? V sau CN 
438,Laslo Biro dã phát minh ra cái gì vào nam 1938?,Bút bi ,Bút chì ,Bút m?c ,Bút lông 
439,Ngu?i châu Âu nào t?i Trung Qu?c vào th? k? 12 và sau dó xu?t b?n cu?n sách v? chuy?n di c?a mình?,Macro Polo,Peter Tore,Philip Ter,Columbo
440,Tác gi? c?a phim Gái nh?y là ai?,Lê Hoàng ,Vi?t Linh ,Tr?ng Trinh ,Thanh Vân 
441,Ð?t bi?n gen phát sinh trong quá trình gi?m phân du?c g?i là gì?,Ð?t bi?n giao t? ,Ð?t bi?n xôma ,Ð?t bi?n ti?n phôi ,Ð?t bi?n gây ch?t 
442,Thu?t ng? nào du?i dây bao hàm t?t c? các thu?t ng? còn l?i?,Photpholipit,D?u th?c v?t ,Steroit,M? d?ng v?t
443,Vi khu?n ua nhi?t là vi khu?n sinh tru?ng t?i uu trong di?u ki?n nhi?t d??,5565 d? C,2030 d? C,3035 d? C,6580 d? C
444,"T? thu? d?ng nu?c cho d?n nay, nu?c ta dã có bao nhiêu b?n tuyên ngôn d?c l?p?",3,1,2,4
445,Nh?c c? gõ c? nh?t c?a Vi?t Nam là nh?c c? nào?,Ðàn dá ,Tr?ng ,"C?ng , chiêng ",Ðàn Trung 
446,Kính lúp du?c phát minh vào nam nào?,1250,1130,1370,1460
447,V? vua tr? vì trong th?i gian lâu nh?t 55 nam là ai?,Lý Nhân Tông ,Lê Thánh Tông ,Tr?n Nhân Tông ,Minh M?ng 
448,"Thành ph? nào l?n nh?t Th? Nhi K?, tru?c dây du?c g?i là Constantinople?",Istanbul,InBuder ,Galatasaray,TenPhor
449,Ai là tác gi? c?a b? s? Ð?i Vi?t s? ký toàn thu?,Ngô Si Liên ,Lê Van Huu ,Ngô Thì Si ,Ngô Thì Nh?m 
450,Lactozo là lo?i du?ng có trong?,S?a d?ng v?t ,M?ch nha ,Mía,Hoa qu?
451,"Trong quá trình hô h?p n?i bào, nang lu?ng ATP du?c gi?i phóng nhi?u nh?t ? giai do?n?",Chu?i truy?n di?n t? ,Ðu?ng phân ,Chu trình Crep,Oxy hoá axit piruvic
452,Sao Ho? có bao nhiêu v? tinh t? nhiên?,4,1,2,3
453,Co quan di?u hoà và ph?i h?p các ho?t d?ng ph?c t?p c?a co th? là?,Ti?u não ,Tr? não ,Não trung gian ,Ð?i não 
454,"Tom và Jerrry, b? phim ho?t hình quen thu?c v?i bao th? h? ngu?i xem dã du?c b?t d?u s?n xu?t t? nam?",1940,1950,1970,1930
455,Cu?c chi?n tranh Tram Nam gi?a Anh và Pháp b?t d?u t? nam nào?,1937,1931,1935,1936
456,Ði?m th?p nh?t nu?c M??,Death Valley,Death Macor,Dentoriesa,Death Metal
457,Tác gi? c?a ti?u thuy?t Tru Tiên?,Tiêu Ð?nh ,Kim Dung ,C? Long ,Ngo? Long Sinh 
458,Thu?t ng? nào du?i dây bao g?m t?t c? các thu?t ng? còn l?i?,Cacbonhydrat ,Ðu?ng don ,Ðu?ng dôi ,Ðu?ng da
459,Nhi?m s?c th? con trong Nhi?m s?c th? kép tách r?i nhau ra tâm d?ng vào kì nào c?a quá trình nguyên phân?,Kì sau ,Kì trung gian ,Kì gi?a ,Kì cu?i 
460,T?n t?i hay không t?n t?i là câu nói n?i ti?ng c?a nhân v?t nào?,Hamlet,The Ghost ,Laertes ,Claudius
461,Tuy?n n?i ti?t quan tr?ng nh?t là?,Tuy?n yên ,Tuy?n giáp ,Tuy?n tu? ,Tuy?n trên th?n 
462,Www ra d?i vào nam nào?,1990,1995,1985,1981
463,Tháp nghiêng Pisa ? Italy có bao nhiêu b?c thang?,293,393,493,593
464,Hòn d?o nào mà Indonesia chia s? v?i Malaysia và Brunei t?i Ðông Nam Á?,Bormeo,Berurio,Benpiter,Domuter
465,Marie Curie là ngu?i dã do?t 2 gi?i Nobel thu?c 2 linh v?c nào?,"Hoá h?c, v?t lý ",Toán h?c ,"Toán h?c, hoá h?c ",V?t lý 
466,Quy?t là th?c v?t nhu th? nào?,Th? tinh nh? nu?c,Chua có h? m?ch ,Tinh trùng không có roi ,Th? tinh nh? côn trùng
467,Kì gi?a c?a nguyên nguyên phân Nhi?m s?c th? x?p trên m?t ph?ng xích d?o c?a thoi vô s?c thành m?y hàng?,1 hàng ,2 hàng,3 hàng ,4 hàng
468,Tuy?n n?i ti?t l?n nh?t ? ngu?i là?,Tuy?n giáp ,Tuy?n yên ,Tuy?n tu?,Tuy?n trên th?n 
469,Lo?i h?t nào có kh? nang t?n t?i lâu nh?t?,H?t hoa súng ,H?t ngô ,H?t ?i ,H?t tiêu 
470, Thác Victoria du?c m?t ngu?i Anh tìm ra vào nam nào?,1855,1845,1865,1875
471,"Thu?ng ngh? si và là phi hành gia M? d?u tiên di vào qu? d?o trái d?t, sinh ra ? Cambridge, Ohio?",John Herschell Glenn,Peter Human,Colum Sebure,Noria Hersch
472,Pháp d? b? vào Ðà N?ng vào nam nào?,1858,1865,1895,1885
473,Rêu là th?c v?t nhu th? nào?,Chua có h? m?ch ,Th? tinh nh? gió ,Th? tinh nh? côn trùng ,Tinh trùng không có roi 
474,Quá trình quang h?p g?m bao nhiêu pha?,2 pha ,1 pha,3 pha ,4 pha
475,Qu?c h?i khoá m?y quy?t d?nh l?y tên nu?c ta là CHXHCN Vi?t Nam?,Khoá IV,Khoá I ,Khoá II ,Khoá III
476,L?p t? bào ch?t ? da là?,T?ng s?ng ,T?ng s?ng và l?p bì ,T?ng s?ng và tuy?n nh?n ,L?p bì và tuy?n nh?n 
477,Nhà lãnh d?o ?n Ð? dem l?i t? do cho d?t nu?c mình thông qua m?t cu?c cách m?ng phi b?o l?c nào?,Mohandas Karamchand Gandhi,Mohamen Labarian,Antonir Duban,Malatur Leban
478,Chúa nào th?i nhà Nguy?n du?c m?nh danh là chúa Ph?t?,Nguy?n Phúc Nguyên ,Nguy?n Phúc Khoát ,Nguy?n Hoàng ,Nguy?n Phúc Khao 
479,T? m?i tinh bào b?c 1 qua gi?m phân cho ra bao nhiêu tinh trùng?,4 tinh trùng ,1 tinh trùng ,2 tinh trùng ,3 tinh trùng 
480,S? sinh tru?ng c?a t? bào di?n ta ch? y?u ? pha nào?,Pha G1,Pha G2,Pha S,Pha G2 và pha S
481,Loài doi s? nh?t mùi gì?,T?i ,Máu ,Hành ,Cá
482,Tia Xquang hay còn g?i là tia Ronghen du?c phát hi?n vào nam nào?,1895,1892,1893,1894
483,Trên th? gi?i có kho?ng bao nhiêu th? ti?ng?,6500,3500,4700,7300
484,"M?t d?i g?m 150 hòn d?o nh?, chia tách Thái Bình Duong và bi?n Bering?",Aleutian Islands,Calibertor,Hawaii ,Granland 
485,Lúc nh? Tr?nh Công Son s?ng ? dâu?,Hu? ,Qu?ng Bình ,Qu?ng Tr? ,Ngh? An 
486,"Trong nguyên phân, nhi?m s?c th? v?t d?u co ng?n dóng xo?n di?n ra ? k? nào?",Sau ,Ð?u ,Gi?a ,Cu?i 
487,M?t chu kì t? bào có m?y giai do?n rõ r?t?,2 giai do?n ,4 giai do?n ,3 giai do?n ,1 giai do?n
488,Lê Ng?c Hân là con gái c?a vua nào?,Lê Th?n Tông ,Lê Hi?n Tông ,Lê L?i ,Lê Thánh Tông
489,Edixon sáng ch? ra dèn chân không nóng sáng vào nam nào?,1897,1896,1898,1899
490,Hành d?ng nào sau dây du?c coi là tuyên b? ly hôn du?i th?i Lê?,B? g?y dôi dua ,Ð?p niêu com ,Ð?p v? bát ,Xé áo 
491,Lo?i ru?u n?i ti?ng c?a B? Ðào Nha tên gì?,Porto ,Sake ,Vodka ,B? Ðào m? t?u 
492,Tên g?i khác c?a d?t nu?c B?c Ailen là gì?,Ulster ,Anh ,Scotland ,Nireland 
493,Môn võ nào du?c g?i là Hi?p khí d?o?,Aikido,Pencat Silat,Judo,Karatedo
494,Ch?t mang truy?n d?t thông tin di truy?n trong t? bào là gì?,ADN,Protein ,ARN thông tin ,ARN riboxom 
495,Trong gi?m phân s? trao d?i do?n gi?a các cromatit trong c?p NST kép tuong d?ng di?n ra ? dâu?,Kì d?u I,Cu?i kì trung gian ,Kì d?u II ,Kì gi?a I
496,Nh?c Jazz b?t ngu?n t? nu?c nào?,Ð?c ,Áo ,Thu? Si,Th? Nhi K? 
497,"Theo ti?ng Ph?m, Hymalaya có nghia là gì?",Bang tuy?t ,S?ng s?ng ,Kh?ng l? ,Cheo leo 
498,Kh?ng long xu?t hi?n vào k? nguyên nào?,Permain,Jurassic,Cretasious,Cambrian
499,T?ng th?ng th? 38 c?a M? 1974 - 1977 nào là ngu?i duy nh?t không qua b?u c? t?ng th?ng hay phó t?ng th?ng?,Gerald R. Ford,Kenedy,Bill Clinton,G. Bush
