id,Questions,A,B,C ,D
514,Khu di tích Chichen Itza do nền văn minh Maya xây dựng nằm ở nước nào?,Mexico,Việt Nam,Úc,Anh
515,Bức tượng Chúa Cứu Thế ở Brazil được xây dựng ở thành phố nào?,Rio de Janeiro,Salvador,Porto Alegre,Osasco
516,Sân bay Courchevel nằm trên dãy núi Alps là ở quốc gia nào?,Pháp,Anh ,Úc,Mỹ
517,"Đây là một thành phổ nghỉ dưỡng, đánh bạc và ẩm thực nổi tiếng thế giới?",Las Vegas,Paris,Luôn Đôn,Hà Nội
518,Cố đô của nước Lào là thành phố nào?,Luang Prabang,Viêng Chăn,Attapeu, Champasack
519,Tôn giáo chính của Lào là tôn giáo gì?,Phật giáo Theravada,Nho giáo,Đạo giáo,Thiên chúa giáo
520,"Lào giáp biên với Thái Lan, Việt Nam, Trung Quốc và nước nào?",Campuchia,Philippines,Singapore,Malaysia
521,Trường đại học nào là lâu đời nhất ở vương quốc Anh?,Oxford,Plymouth,Swansea,Cambridge
522,Đền Angkor Wat tại thành phố nào ở Campuchia?,Siem Reap ,Phnôm Pênh,Kampot,Kampong Thom
523,Đài tưởng niệm tổng thống Mỹ Lincoln tại thành phố nào?,Washington,New York,California,Las Vegas
524,Duomo di Milano là nhà thờ theo kiến trúc Gô-tích lớn nhất ở nước nào?,Italia,Mỹ ,Anh,Pháp
525,Macao sử dụng ngôn ngữ tiếng trung và tiếng gì?,Tiếng Bồ Đào Nha,Tiếng Thái ,Tiếng Anh,Tiếng Việt
526,Vương Quốc Anh được mệnh danh là gì?,Xứ sở sương mù,Xứ sở bò tó,Kinh đô ánh sáng,Kinh đô điện ảnh
527,Bãi đá cổ Stonehenge ở nước nào?,Anh,Mỹ ,Nhật Bản,Úc
528,Bức tượng Nữ thần Tự Do ở Mỹ được đặt trên hòn đảo nào?,Liberty,Hawaii,Midway,Wake
529,Tên một cây cầu đã trở thành biểu tượng ở nước Anh?,Tower Bridge,Big Ben,Red Phone Box,Twice Bridge
530,Cầu cổng vàng là cây cầu ở đất nước nào?,Mỹ ,Anh ,Pháp ,Úc
531,Cầu cổng vàng được xây dựng ở vịnh nào?,San Francisco,Mexico,Chesapeake,Alaska
532,Đảo Vancouver xinh đẹp nằm ở quốc giao nào?,Canada,Nga,Anh,Pháp
533,"Thác Niagara nằm tại Bắc Mỹ, nằm ở đường biên giới của Hoa Kỳ và nước nào?",Canada,Anh ,Pháp ,Nga
534,Đâu là thành phố lâu đời nhất Canada?,Quebec,Ontario,Manitoba,Alberta
535,Cung điện nổi tiếng Buckingham ở đâu?,Vương quốc Anh,Pháp,Ý ,Tây Ban Nha
536,Cung điện nổi tiếng Buckingham dành cho nữ hoàng nào?,Elizabeth II,Elizabeth I,Elizabeth III,Elizabeth IV
537,Mauna Loa là ngọn núi lửa lớn nhất Trái Đất tính theo số lần phun và diện tích ở đâu?,Mỹ ,Ý,Nhật Bản,Úc
538,Thành phố nào ở Mỹ được mệnh danh là Hạt Đậu?,Chicago,Las Vegas,California,New York
539,Xứ sở bạch dương là mệnh danh của nước nào?,Nga,Anh ,Mỹ,Úc
540,Cây trinh nữ hay còn gọi là cây xấu hổ có nguồn gốc từ nước nào?,Brazil,Trung Quốc,Mỹ ,Anh
541,Con chàng hang sống ở đâu?,Biển,Đồi,Núi,Hồ
542,Loài cá lớn nhất trong phân bộ cá voi có răng?,Cá nhà táng,Cá mập trắng,Cá voi,Cá mái chèo
543,Động vật gặm nhấm lớn nhất thế giới?,Chuột lang nước,Chuột trù,Chuột chũi,Chuột nhắt
544,Cây ô lưu già nhất thế giới nằm ở đâu?,Hy Lạp,Mỹ,Anh,Pháp
545,"Trong các con vật sau, con nào chạy chậm nhất?",Ngựa,Báo,Thỏ,Linh dương Thomson
546,Cây nào sau đây là cây ăn côn trùng?,Cây nắp ấm,Cây sồi,Cây thông,Hoa loa kèn
547,Cây bao báp phát triển mạnh ở đâu?,Madagascar,Anh,Nga,Trung Quốc
548,Cây Tule là cây nổi tiếng nhất ở đâu?,Mexico,Malaysia,Trung Quốc,Úc
549,Người đầu tiên gây giống được nấm linh chi là người nước nào?,Nhật Bản,Hàn Quốc,Việt Nam,Philippines 
550,Lá phong là biểu tượng của nước nào?,Canada,Malaysia,Trung Quốc,Mỹ
551,Quang hợp là quá trình giúp tạo ra cái gì cho cây?,Chất hữu cơ,Carbon,Oxy,Nước
552,Khí được thải ra trong quá trình quang hợp?,Oxy,Carbon,Hidro,Nito
553,Loài cây huyết rồng là loại cây nổi tiếng ở quốc gia nào?,Yemen,Madagasca,Mexico,Trung Quốc
554,Loại cây huyết rồng là loài cây có nhựa màu gì?,Đỏ ,Hồng,Vàng,Xanh
555,Ếch Titicaca là loài ếch lớn chỉ có duy nhất ở hồ Titicaca ở đâu?,Nam Mỹ,Bắc Mỹ,Châu Phi,Canada
556,Cây sinh mệnh là một cái cây rất đặc biệt vì nó nằm giữa sa mạc nào?,Bahrain,Sahara,Kalahari,Gobi
557,Cua đỏ là loài đặc hữu tại quần đảo Cocos tại Ấn Độ Dương và đảo?,Christmas,Hawaii,Madagascar,Honshu
558,Tên khác của hoa Tulip là gì?,Uất kim hương,Uất kim tiền,Uất ức ,Uất kim thơm
559,Nói đến keo hao vàng hay hoa Mimosa là nói đến quốc gia nào?,Úc,Anh,Pháp,Mỹ
560,Bạch tuộc Wolfi trưởng thành chỉ nặng…?,1 gam,1 cân,1 yến,1 tạ
561,Loài vật nhỏ nhất trong nhóm linh trưởng?,Khỉ lùn Pygmy Marmoset,Tinh tinh,Khỉ ,Golila
562,Cây nắp ấm Attenborough chỉ sống ở núi Victoria ở nước nào?,Philippines,Malaysia,Trung Quốc,Mỹ
563,Loài nào sau đây không có dạ dày?,Cá ngựa,Cá sấu,Bò,Trâu
564,Khóm hoa nào có thể đạt chiều cao tới 3 mét?,Hoa xác thối,Hoa cúc,Hoa đồng tiền,Hoa huệ
565,Loài hoa Champion chỉ được tìm thấy ở đâu?,Vương quốc Anh,Mỹ,Pháp,Nga
566,Loài hoa Koki'o chỉ được tìm thấy ở?,Hawaii,Bangkok,New York,Luôn Dôn
567,Loài nào sau đây có nọc độc?,Rắn hổ mang,Rắn chuột,Trăn,Muỗi
568,Loài ếch phóng độc có nọc độc tiết ra từ đâu?,Da,Mũi,Phân,Mắt
569,Điều gì là sai khi nói về Sứa hộp Australia?,Sống ở nước ngọt,Có túi chứa độc,Còn gọi là sứa lửa,Sống ở đại dương
570,Hiện tượng nước biển trên bề mặt lạnh đi một cách dị thường gọi là?,La Nina,El Nino,Đóng băng,Hiệu ứng nhà kính
571,Tên quốc tế của cơn bão số 1 năm 2016 đi qua Việt Nam là gì?,Kujira,Kujan,Kuro,Nami
572,Hiện tượng nóng lên khác thường của nước biển tại vành đai xích đạo là...?,El-Nino,Et-Noni,Et-Nito,En-Nino
573,Tầng Ozon nằm ở độ cao khoảng bao nhiêu?,25 Km,500 M,2 Km,10 KM
574,Ô xi có công thức hóa học là gì?,O2,O,O1,O3
575,Những khí nào sau đây không phải là khí nhà kính?,O2,CO2,O3,CH4
576,"Tính đến năm 2016, mực nước biển toàn cầu vẫn đang...?",Tăng,Ổn định,Giảm,Giảm mạnh
577,Ủy ban Liên chính phủ về Biến đổi khí hậu viết tắt là gì?,UNFCCC,WTO,WHO,UNICEF
578,Nghị định thư Kyoto là nghị định liên quan đến vấn đề...?,Khí hậu,Văn hóa,Kinh tế,Chính trị
579,Trụ sở chính của Tổ chức bảo tồn thiên nhiên thế giới nằm ở...?,Thụy Sĩ,Nga,Anh,Mỹ
580,Sự chuyển dời vật lý lớp đất mặt do nhiều tác nhân khác nhau gọi là….?,Xói mòn,Bạc mầu,Sa mạc hóa,Sạt lở
581,Công ước Marpol 73/78 là công ước chống ô nhiễm….?,Biển,Đất,Không khí,Nước ngọt
582,Loại đất nào sau đây có hàm lượng chất dinh dưỡng cao nhất?,Đất phù xa,Đất đỏ ba dan,Đất bạc màu,Đất sỏi đỏ
583,Đâu không phải là nguyên nhân của lũ lụt?,Nắng lâu,Mưa nhiều,Sóng thần,Phá rừng
584,Hiện tượng thủy triều đỏ bùng phát do…?,Tảo đỏ,Đất đỏ ,Máu,Ánh sáng
585,"Trong tiếng Hêbrơ, biển Chết có nghĩa là…?",Biển muối,Biển mặn,Biển sâu,Biển đen
586,"Trước Washington, thành phố nào đã từng là thủ đô của Mỹ?",Philadelphia ,Los Angeles,New York ,Boston 
587,Con vật nào được nhắc đến trong câu Kiều sau: Dưới trăng ... đã gọi hè?,Quyên ,Công ,Ngôi ,Sáu 
588,Trong môn bóng chuyền mỗi bên ra sân với bao nhiêu cầu thủ,6,5,7,4
589,Chu Thụ Nhân là tên thật của nhà văn nào ?,Lỗ Tấn,Chu Lai ,Chu Tác Nhân ,Lỗ Thuỵ 
590,"Theo ngôn ngữ Tin học, trong hệ nhị phân thì 1 + 1 = ?",10,1,2,100
591,Những ngân phiếu đầu tiên trên thế giới được in ở đâu?,Thuỵ Điển ,Thuỵ Sĩ ,Trung Quốc ,Anh 
592,Cái nào ngăn cản sự thoát hơi nước của lá cây?,Chất cutin,Gân lá ,Diệp lục ,Lỗ khí 
593,Cầu thủ bóng đá nam xuất sắc nhất Tiger Cup 1998 là ai?,Nguyễn Hồng Sơn,Kiatisak,Bima Sakti,Natifon
594,Chim công thuộc bộ nào?,Bộ Gà ,Bộ Ngỗng ,Bô Chim Ưng ,Bộ Cú
595,Hình thoi có một góc vuông gọi là gì?,Hình vuông,Hình bình hành ,Hình thoi vuông ,Tứ giác đều 
596,Một bộ cờ vua có bao nhiêu loại quân?,6,5,7,8
597,Nguồn sáng nào sau đây không phát ra ánh sáng trắng?,Một đèn LED vàng ,Bóng đèn pin đang sáng ,Bóng đèn ống thông dụng ,Một ngôi sao 
598,Lê Hoàn đã chiến thắng quân xâm lược nào trên sông Bạch Đằng năm 981 ?,Quân Tống,Quân Nam Hán,Quân Bắc Hán,Quân Đường
599,Ngày duy nhất trong năm ở Nam Cực mà mặt trời xuất hiện 24 giờ?,Đông chí,Hạ chí,Xuân phân,Thu phân
600,"Để có ánh sáng màu hồng nhạt, phải trộn hai màu nào với nhau?",Đỏ với lam ,Đỏ với lục ,Đỏ với tím ,Đỏ với vàng 
601,Hào khí Đông A là tinh thần của triều đại nào?,Nhà Trần ,Nhà Lý ,Nhà Hồ ,Nhà Nguyễn 
602,Hai Đế quốc nào được nhắc đến trong bài thơ Con cáo và tổ ong của Hồ Chí Minh?,"Nhật, Pháp ","Pháp, Mỹ ","Nhật, Mỹ ","Pháp, Anh"
603,Sông Hồng đổ vào nước ta ở địa phận tỉnh nào đầu tiên?,Lào Cai ,Cao Bằng ,Điện Biên ,Sơn La 
604,Kilimanjaro là ngọn núi cao nhất châu lục nào?,Châu Phi ,Châu Á ,Châu Âu ,Châu Mỹ 
605,Quần đảo Hoàng Sa nằm ở phía nào của quần đảo Trường Sa?,Bắc,Tây ,Đông ,Nam 
606,Lê Hoàn đã chiến thắng quân xâm lược nào trên sông Bạch Đằng năm 981 ? ,Quân Tống ,Quân Nam Hán ,Quân Bắc Hán ,Quân Đường 
607,"Trong các kì quan thế giới cổ đại sau, kì quan nào không nằm ở châu Âu ?",Vườn treo Babylon ,Tượng thần Zeus,Đền thờ nữ thần Artemis ,Tượng thần trên đảo Rhodes
608,Ngọn núi cao nhất miền nam bộ?,Núi Bà Đen,Núi Đọ,Núi Ngũ Hành,Núi Ngọc Linh 
609,Đội bóng nào vô địch giải ngoại hạng anh mùa bóng 2010 -2011?,Manchester United,Arsenal,Livepool,Chelsea
610,Ngôn ngữ nào sau đây không phải là ngôn ngữ lập trình?,La-tinh,Java,C Sharp,C
611,Nước nào có nhiều múi giờ nhất?,Nga,Anh,Trung Quốc,Canada
612,Trong vật lý có nguyên tắc nào?,Nguyên tắc bình thông nhau,Nguyên tắc cổ chai,Nguyên tắc bình rỗng,Nguyên tắc bình phương
613,Đại lượng nào sau đây không phải là đại lượng vật lý?,Radian,Mô men,Lực,Động lượng
614,Từ nào sau đây theo tiếng Nghệ An nghĩa là làm?,Mần,Mi,Răng,Rứa
615,"Anh có nhiều hơn em 6 cái kẹo, tổng số kẹo của cả 2 anh em là 18. Hỏi người em có mấy cái?",6,7,9,12
616,Công thức hóa học của Toluen?,C7H8,C5H6,C6H7,C8H9
617,"Năm 1954, nước ta ký hiệp định nào với Pháp?",Giơ-ne-vơ,Paris,Washinton,London
618,"Trong chiến dịch Điện Biên Phủ năm 1954, người anh hùng nào đã lấy thân mình lấp lỗ châu mai?",Phan Đình Giót,Bế Văn Đàn,Phùng Văn Khầu ,Tô Vĩnh Diện 
619,Động cơ điện một chiều là động cơ làm biến đổi?,Điện năng thành cơ năng ,Cơ năng thành điện năng,Cơ năng thành nhiệt năng ,Điện năng thành nhiệt năng 
620,Sombrero là vật dụng truyền thống nào sau đây?,Mũ Mexico,Váy Ailen,Kiếm Tây Ban Nha,Giày Ấn Độ
621,Đội bóng nào được mệnh danh là Cỗ xe tăng?,Đức,Pháp,Hà Lan,Anh
622,"Trái đất, mặt trăng, mặt trời cùng năm trên 1 đường thẳng theo thứ tự gọi là gì?",Nhật thực,Nguyệt thực,Hoàng hôn ,Giao thừa
623,Lực hút ở mặt Trăng nhỏ gấp bao nhiêu lần Trái đất?,6,5,7,8
624,Kim loại nhiều nhất trong đất sét?,Nhôm ,Silic,Sắt ,Đồng 
625,"Con gì hai cánh, mà lại biết bơi, ngày xuống ao chơi, đêm về đẻ trứng?",Vịt,Gà,Bồ Câu,Chim Cú
626,"Trong các chất sau đây, ở điều kiện tiêu chuẩn, chất nào có nhiệt độ sôi cao nhất?",Thuỷ ngân ,Ête ,Rượu ,Nước 
627,"Xét về mục đích nói, câu văn: Tôi ngồi dựa vào thành đá và khe khẽ hát thuộc loại câu nào?",Câu trần thuật ,Câu nghi vấn ,Câu cầu khiến ,Câu cảm thán 
628,Chợ nổi ở vùng nào của nước ta?,Đồng bằng S.Cửu Long ,Tây Nguyên ,Bắc Trung Bộ ,Trung Bộ 
629,Quốc gia nào sau đây không thuộc Châu Phi?,Tây Ban Nha ,Madagascar,Nigeria,Niger
630,Ai là nhân vật quyền lực và có ảnh hưởng nhất của ngành công nghiệp điện ảnh?,Steven Spielberg,Peter Jackson,Walt Disney,Charles Spencer Chaplin
631,"Gặm một nỗi căm hờn trong cũi sắt, ta nằm dài trông ngày tháng dần qua là câu thơ được viết bởi?",Thế Lữ ,Trần Tế Xương ,Viễn Phương ,Chính Hữu 
632,Huyện Thanh Trì thuộc thành phố nào của nước ta?,Tp. Hà Nội ,Tp. Huế ,Tp. Đà Nẵng ,Tp. Vĩnh Long 
633,Huyện Hoa Lư trực thuộc tỉnh nào của nước ta?,Ninh Bình ,Nam Định ,Hà Nam ,Thanh Hoá 
634,Người ta đánh dấu biên giới biển bằng gì?,Phao số không ,Cột mốc ,Dãy núi ,Cây 
635,Hà Nội niềm tin và hy vọng là sáng tác của nhạc sĩ nào?,Phan Nhân ,Vũ Thanh ,Tôn Thất Lập ,Phan Huỳnh Điểu 
636,Nước ta có bao nhiêu tỉnh và thành phố giáp với Trung Quốc?,7,5,10,11
637,Đơn vị của công cơ học là?,N.m,Nm,Nm2,N.m2
638,"Trong các dụng cụ tiêu thụ điện như quạt, tủ lạnh, động cơ, người ta nâng cao hệ số công suất nhằm?",Giảm cường độ dòng điện ,Tăng cường độ dòng điện ,Tăng công suất toả nhiệt,Giảm công suất tiêu thụ
639,Hanbok là trang phục truyền thống ở đâu?,Hàn Quốc,Nhật Bản,Trung Quốc,Thái Lan
640,Đội bóng nào đoạt cúp vô địch World Cup năm 2010?,Tây Ban Nha,Brazil,Hà Lan,Argentina
641,"Mặt trời, trái đất, mặt trăng cùng nằm trên 1 đường thẳng theo thứ tự gọi là gì?",Nguyệt thực ,Nhật thực ,Giao thừa,Hoàng hôn 
642,Người giàu nhất thế giới 2006 - 2007 là ai?,Bill Gates ,Bush,Biladen,Nữ hoàng Elizabeth
643,"Bài hát một đời người, một rừng cây là nhạc sỹ nào?",Trần Long Ẩn,Trần Hoàn ,Hoàng Việt ,Phạm Mih Tuấn 
644,Nước nào sau đây không thuộc nhóm G7?,Australia ,Anh,Nhật ,Pháp 
645,Đơn vị đo lực là gì?,N ,Kg ,M,Nm3
646,"Từ nó trong câu “Nó dài dài, màu nâu, hay nheo lại như chổi nắng” là loại từ gì?",Chỉ từ ,Quan hệ từ ,Đại từ ,Tình thái từ
647,"Lúc Bác Hồ ở Hồng Kông, Bác lấy tên là gì?",Tống Văn Sơ ,Hồ Chí Minh ,Nguyễn Tất Thành ,Nguyễn Ái Quốc 
648,Quốc gia nào sau đây không thuộc Châu Phi?,Hy Lạp,Angola,Liberia,Somalia
649,Sea Games 22 được tổ chức ở Việt Nam có bao nhiêu môn thi đấu?,38 môn,28 môn ,32 môn ,34 môn 
650,Bản trường ca Đẻ đất đẻ nước là của dân tộc nào?,Êđê,Hmông ,Chăm ,Mường 
651,Thành Phố Uông Bí trực thuộc tỉnh nào của nước ta?,Quảng Ninh ,Hải Phòng ,Hải Dương ,Bắc Giang 
652,Thị xã Hồng Lĩnh trực thuộc tỉnh nào của nước ta?,Hà Tĩnh ,Nghệ An ,Hà Nội,Ninh Bình 
653,Sóng dừng là một trường hợp của hiện tượng gì?,Giao thoa sóng ,Cộng hưởng ,Triệt tiêu ,Tăng dần 
654,Một cõi đi về là sáng tác của nhạc sĩ nào?,Trịnh Công Sơn ,Văn Cao ,Phan Huỳnh Điểu ,Hoàng Hiệp 
655,"Tỉnh nào nằm ở ngã ba biên giới Lào, Campuchia và Việt Nam?",Kon Tum ,Đắc Lắc ,Đắc Nông ,Gia Lai 
656,"Càng lên cao, áp suất khí quyển sẽ như thế nào?",Càng giảm ,Càng tăng ,Không thay đổi,Tăng dần rồi giảm
657,Sóng điện từ là sóng gì?,Ngang,Dừng ,Dọc ,Vừa ngang vừa dọc 
658,Tác phẩm Chí Phèo của Nam Cao được đổi tên mấy lần?,3,2,4,5
659,Nhà thơ Nguyễn Đình Chiểu bị dị tật gì?,Mù ,Điếc ,Thần Kinh ,Câm 
660,Quang Dũng tác giả bài thơ Tây Tiến tên thật là gì?,Bùi Đình Diệm ,Nguyễn Quang Dũng ,Trần Nhật Tân ,Ngô Thì Nhậm 
661,Lễ hội Canaval là lễ hội nổi tiếng ở quốc gia nào?,Brazil ,Mexico ,Argentina ,Chile 
662,Đơn vị khối lượng riêng là gì?,Kg/m3,N/m ,N/m3,Kg/m2
663,Từ nào dưới đây là từ tượng thanh?,Khe khẽ ,Kiêu hãnh ,Xa xăm ,Lộn xộn 
664,"Khi hoạt động ở Thái Lan, Bác Hồ lấy tên là gì?",Thầu Chín,Tống Văn Sơ ,Hồ Chí Minh ,Nguyễn Ái Quốc 
665,Sân vận động quốc gia Mỹ Đình có sức chứa bao nhiêu?,40 nghìn người ,30 nghìn người ,50 nghìn người ,60 nghìn người 
666,Quốc gia nào sau đây không thuộc châu Á?,New Zealand ,Iran ,Iraq,Qatar
667,"Cho đến năm 2010, thứ hạng cao nhất của đoàn Việt Nam qua các kỳ  Sea Games là hạng mấy?",Nhất ,Nhì ,Ba ,Tư 
668,Huyện Cô Tô thuộc tỉnh nào của nước ta?,Quảng Ninh ,Hải Phòng ,Hải Dương ,Bắc Giang 
669,Thành Phố Hội An trực thuộc tỉnh nào của nước ta?,Quảng Nam ,Quảng Trị ,Quảng Bình ,Quảng Ninh 
670,Đường nối các điểm cùng độ cao trên bản đồ gọi là gì?,Đường đồng mức ,Đường xích đạo ,Vĩ tuyến ,Kinh độ 
671,Như có Bác Hồ trong ngày vui đại thắng là sáng tác của nhạc sĩ nào?,Phạm Tuyên ,Phan Huỳnh Điểu,Huỳnh Thơ ,Trịnh Công Sơn  
672,Ánh sáng trắng chiếu qua một môi trường bị môi trường đó hấp thụ một số bức xạ tạo ra quang phổ như thế nào?,Hấp thụ ,Liên tục ,Đám ,Vạch 
673,"Khi cho một dòng điện xoay chiều chạy trong một dây dẫn thằng bằng kim loại, xung quanh dây dẫn sẽ có?",Điện từ trường ,Trường hấp dẫn,Từ trường ,Điện trường 
674,Loại đất có diện tích lớn nhất đồng bằng sông Cửu Long?,Đất phèn,Đất đầm lầy,Đất mặn ,Đất phù sa
675,Virus gây bệnh cúm gà rất nguy hiểm cho tính mạng con người?,AH5N1,H5N2,H1N5,SARS
676,Địa danh nào sau đây không được nhắc đến trong bài thơ Tây Tiến của quang dũng?, Lát Hoa,Sài Khao,Châu Mộc,Pha luông
677,"Trong các chất sau đây, chất nào có nhiệt độ nóng chảy cao nhất?",Graphit,Đồng,Sắt,Vàng
678,Đơn vị đo trọng lực là gì?,N ,N.m ,N.m2,N.m3
679,Câu thơ “mà sao nghe nhói ở trong tim” thuộc loại câu nào?,Câu cảm thán ,Câu trần thuật ,Câu nghi vẫn ,Câu cầu khiến 
680,Châu lục nào có lượng mưa ít nhất thế giới?,Châu Nam Cực ,Châu Đại Dương ,Châu Âu,Châu Phi 
681,Con vật nào sau đây lần đầu tiên cùng con người bay vào vũ trụ?,Chó ,Mèo ,Chuột ,Nhím 
682,Quốc gia nào sau đây không thuộc châu Á?,Thổ Nhĩ Kì ,Banglades ,Oman,Mông Cổ 
683,"Tên khu du lịch Tứ linh nổi tiếng ở Quận 9, thành phố Hồ Chí Minh?",Suối Tiên ,Đầm Sen ,Kỳ Hoà ,Thác Bà 
684,Arron Carter là em trai của thành viên trong nhóm nhạc nào?,Backstreet Boys,N sync,Westlife,Five 
685,Huyện Vân Đồn thuộc tỉnh nào của nước ta?,Quảng Ninh ,Hải Phòng ,Thái Bình ,Hải Dương 
686,Thành Phố Cam Ranh trực thuộc tỉnh nào của nước ta?,Khánh Hoà ,Phú Yên ,Bình Định ,Lâm Đồng 
687,Thành phần chính của đá vôi?,CaCO3,CaO ,CaAlO2,CaMgO2
688,Tiền giấy Việt Nam mệnh giá 100 đồng được phát hành vào năm nào?,1992,1991,1993,1994
689,Bề mặt địa hình hiện tại của nước ta được quyết định bởi vận động tạo núi nào?,Himalaya,Caledoni ,Hecxini ,Indonesia 
690,Màu phụ nhau là màu khi trộn vào nhau sẽ tạo thành màu gì?,Màu trắng ,Màu đỏ ,Màu vàng ,Màu lam nhạt 
691,"Trong công nghiệp, để làm mau khô lớp sơn ngoài người ta sử dụng tác dụng nhiệt của tia gì?",Tia hồng ngoại ,Tia Rơnghen,Tia tử ngoại ,Tia phóng xạ 
692,Trong khoa học máy tính ALU là bộ phận xử lý nào sau đây?,Logic và số học,Hình ảnh,Âm thanh,Tín hiệu internet
693,Quốc gia nào được xem là quê hương của ông già Noel?,Phần Lan,Hà Lan,Nauy,Đan Mạch
694,Thuỵ Điển nổi tiếng ở thể loại nhạc nào?,Jazz,Dance,Pop,Cổ điển
695,"Theo thần thoại Trung Hoa, vị thần cai quản biển, sông gọi là gì?",Long vương ,Thuỷ vương ,Hải vương ,Hà vương 
696,Ngôi sao bóng đá David Beckham lần đầu tiên sang Việt Nam năm nào?,2003,2002,2004,2001
697,Loại mưa nào sau đây được hình thành từ những trận mưa trong không khí?,Mưa tuyết ,Mưa phùn ,Mưa đá,Mưa rào 
698,Đơn vị đo trọng lượng riêng là gì?,N/m3,N/m2,N.m3,Kg/m3
699,"Chỉ có một châu lục mang tên của một nhà thám hiểm hàng hải nổi tiếng, đó là châu lục nào?",Châu Mỹ ,Châu Âu ,Châu Á ,Châu Phi 
700,Sông Nil chảy ra biển nào?,Địa Trung Hải ,Biển Chết ,Biển Đen,Thái Bình Dương
701,"Gió heo may là gió hơi lạnh và khô, thường thổi vào mùa nào trong năm?",Thu ,Xuân ,Hạ ,Đông 
702,Quốc gia nào sau đây không thuộc châu Mỹ?,Bờ Biển Ngà ,Brazil ,Argentina ,Cuba 
703,Quả bom nguyên tử đầu tiên được thả xuống thành phố nào?,Hiroshima ,Nagasaki ,Tokyo ,Osaka 
704,Tác giả của tác phẩm Bố già là ai?,Mario Puzzo,J.K. Rowling,Mac Helen,Margeret Thetcher
705,Huyện Yên Hưng thuộc tỉnh nào của nước ta?,Quảng Ninh ,Hải Phòng ,Thái Bình ,Bắc Giang 
706,Thành Phố Thủ Dầu Một trực thuộc tỉnh nào của nước ta?,Bình Dương ,Bình Phước ,Lâm Đồng ,Đồng Nai 
707,Lỗ thủng tầng Ozon lần đầu tiên được tìm thấy tại đâu?,Nam Cực ,Mỹ ,Bắc Cực ,Anh 
708,Tiền giấy Việt Nam mệnh giá 10.000 đồng chất liệu cotton được phát hành vào năm nào?,1994,1995,1996,1997
709,Chế độ thuỷ triều của vịnh Bắc Bộ thuộc loại gì?,Nhật triều đều ,Nhật triều không đều ,Bán nhật triều đều ,Bán nhật triều đều 
710,"Một thấu kính có mặt lồi bán kính 20cm, mặt lõm bán kính h 30cm. Đó là thấu kính gì?",Rìa mỏng,Hội tụ ,Phân kỳ ,Rìa dày 
711,Tia có khả năng chữa ung thư ở gần da người là tia gì?,Tia Rơnghen tia X,Tia hồng ngoại ,Tia tử ngoại ,Tia âm cực
712,Chùa vàng Shwedagon là một công trình kiến trúc độc đáo của quốc gia nào?,Myanmar,Philipines,Campuchia,Singapore
713,Đông Nam Á hiện tại có bao nhiêu quốc gia?,11,9,10,12
714,Bản tuyên ngôn Bác Hồ đọc ở Ba Đình là bản Tuyên ngôn thứ mấy của dân tộc ta?,3,1,2,4
715,"Trong thần thoại Hy Lạp, cái gì đã được nữ thần bất hòa gửi tới 3 nữ thần khác?",Quả táo vàng,Quả nho ,Quả bưởi ,Quả Ôliu
716,Ag là ký hiệu hoá học của nguyên tố nào?,Bạc ,Thuỷ ngân ,Natri ,Đồng 
717,Ngành công nghiệp sản xuất thuỷ tinh gọi là gì?,Công nghiệp Silicat,Công nghiệp Nitorat,Công nghiệp Cacbonat ,Công nghiệp Nano 
718,1 lít bằng giá trị nào dưới đây?,1 dm3,1 m3,1 cm3,1 mm3
719,Sài Lang dùng để chỉ tên con vật nào?,Chó sói,Hải cẩu ,Hà mã,Hổ 
720,Tỉnh Đắc Nông được ra đời từ tỉnh nào dưới đây?,Đắc Lắc ,Kontum ,Gia Lai ,Lâm Đồng 
721,Nữ Hoàng là tên của con sông nào ở Việt Nam?,Sông Hồng ,Sông Đà ,Sông Thao ,Sông Thu Bồn 
722,Quốc gia nào sau đây không thuộc châu Mỹ?,Nam Tư ,Venezuela ,Bolivia ,Paraguay 
723,Tượng Nữ thần Tự do nằm ở đâu?,New York,Washington,San Jose,Chicago
724,Thị xã Cam Đường thuộc tỉnh nào của nước ta?,Lào Cai ,Hà Giang ,Yên Bái ,Sơn La 
725,Huyện Chương Mỹ trực thuộc tỉnh nào của nước ta?,Hà Nội,Hà Nam ,Hưng Yên ,Vĩnh Phúc 
726,Thành Phố Bà Rịa trực thuộc tỉnh nào của nước ta?,Bà Rịa - Vũng Tàu ,Đồng Nai ,Bình Thuận ,Long An 
727,Bạn hãy cho biết quốc gia nào được mệnh danh là Đất nước của những người đi xe đạp?,Đan Mạch ,Đức ,Anh ,Bồ Đào Nha 
728,Tiền giấy Việt Nam mệnh giá 10.000 đồng polymer được phát hành vào năm nào?,2006,2002,2003,2005
729,Vùng khí hậu cực và cận cực có những loại cây sinh sống được là?,Rêu và địa y ,Thông và rêu ,Cây bụi và thông ,Rêu và dương xỉ 
730,Cáp quang làm bằng gì?,Thuỷ tinh ,Kim loại ,Polimer,Hợp kim 
731,Màu sắc ánh sáng phụ thuộc vào yếu tố nào?,Tần số,Bước sóng,Môi trường truyền sóng ,Cường độ chùm sáng
732,Quốc gia Mỹ Latinh nào có hình dáng giống một chú cá sấu?,Cuba,Brasil,Nicaragua,Venezuela
