id,Questions,A,B,C ,D
459,"Nh?ng d? dùng sau dây, d? dùng nào c?a ngu?i nông dân?",Cu?c,Kim tiêm,Bào,Máy tính
460,H?t lúa chín có m?u gì?,Vàng,Xanh,Ð?,Nâu
461,Hoa cà có m?u gì?,Tím,Tr?ng,Xanh,Ð?
462,M?t tr?i l?n hu?ng nào?,Tây,Ðông ,Nam ,B?c
463,"Trong phim Tây Du Ký, d?i d? d? c?a Ðu?ng Tam T?ng có tên là gì?",Tôn Ng? Không,Tru Bát Gi?i,Sa ng? Tinh,B?ch Long
464,Con gì gáy báo hi?u tr?i sáng?,Gà tr?ng,Mèo,Sóc,L?n
465,Vu Xuân Ti?n dã ch?y theo xe c?a d?i bóng nào sau dây khi sang VN du d?u?,Arsenal,Chelsea,Liverpool,MU
466,Lá c? Vi?t Nam có m?y sao?,1,2,3,4
467,Ngày m?ng 1 tháng 5 là ngày gì?,Qu?c t? Lao Ð?ng,Ngày Thi?u nhi,Thành l?p doàn,Ngày gi?i phóng
468,"Trong các qu? sau, qu? nào có nhi?u h?t nh?t?",Thanh long,Na,Dua h?u,Mít
469,"Da cóc mà b?c tr?ng gà, b? ra thom ph?c c? nhà cùng an. Là qu? gì?",Mít,?i,Bu?i,Dua lê
470,Tháp Eiffel n?m ? nu?c nào?,Pháp,M?,Anh,Ð?c
471,Ð?i bóng dá Ð?c  du?c m?nh danh là gì? ,Nh?ng c? xe tang,Nh?ng c? xe l?a,Nh?ng c? xe Ng?a,Nh?ng c? xe trâu
472,Ð?i bóng dá Anh  du?c m?nh danh là nh?ng chú gì? ,Su T?,H?,Báo,G?u
473,Châu nào sau dây du?c g?i là l?c d?a den?,Châu Phi,Châu M?,Châu ÂU,Châu Á
474,Hành tinh chúng ta có m?u gì?,Xanh ,Ðen,Ð?,Tr?ng
475,R?m tháng 8 còn có tên g?i khác là gì?,T?t trung thu,T?t thi?u nhi,T?t Nguyên tiêu,T?t  tây
476,Ru?u c?n n?i ti?ng ? vùng nào?,Hòa Bình,B?c Giang,Lai Châu ,Son La
477,Cup bóng dá th? gi?i  World Cup m?y nam t? ch?c 1 l?n?,4 nam,2 nam,1 nam,3 nam
478,M?t nam có bao nhiêu ngày?,365,366,364,363
479,Bài hát nào sau dây thu?c th? lo?i nh?c thi?u nhi?,B?c kim thang,Tình Cây và d?t,Hàn m?c t?,Ng?i t?a m?n thuy?n
480,Bài hát M?t con v?t thu?c th? lo?i nh?c nào?,Thi?u nhi,Cách m?ng,Nh?c tr?,Nh?c tr? tình
481,Ðâu là tên c?a m?t t? báo di?n t??,Dân trí,Dân nói,Dân kêu,Dân vi?t
482,Báo hay tung tin quá s? th?t và làm l?ch v?n d? th?c t? thu?ng du?c g?i là báo gì?,Lá c?i,Lá khoai,Lá mít,Lá rách
483,Sài Gòn có tên g?i khác là gì?,TP H? Chí Minh,Sài Ð?ng,TP Lâm Ð?ng,Sài La
484,Thái Nguyên n?i ti?ng v?i d?c s?n nào sau dây?,Chè,Cháo,Tiêu,Cà phê
485,Sông C?u Long có bao nhiêu c?a d? ra bi?n? ,9,10,8,7
486,Ngành nào sau dây khác v?i các ngành còn l?i?,Xây d?ng,Qu?n tr? m?ng,Thi?t k? web,Ð? h?a
487,T?c cu?i h?i c?a ngu?i Vi?t Nam thu?ng không th? thi?u qu? gì sau dây?,Cau,Dua h?u,Mít,D?a
488,T?nh nào sau dây không ph?i là t?nh mi?n núi?,Thái Bình,Son La,Lai Châu ,Cao B?ng
489,T? ti?n c?a Vi?t Nam có hình ?nh c?a ai?,Bác H?,Nguy?n Trãi,Lê L?i,Lê Du?n
490,Trong truy?n T?m Cám thì sau khi ch?t T?m dã bi?n thành con gì?,Chim vàng anh,Chim d?i bàng,Chim cu gáy,Chim cú mèo
491,Trong phim  ho?t hình hãy d?i d?y nhân v?t nào hay xu?t hi?n cùng v?i cáo? ,Th?,Chim,Gà,G?u
492,"Trong nh?ng con v?t sau, con nào có b?m ? c??",Su T?,H? ,Báo,G?u
493,"Trong nh?ng con v?t sau, con nào ch?y nhanh nh?t?",Báo,Mèo,Chó,Ng?a
494,"Trong nh?ng con v?t sau, con nào ch?y ch?m nh?t?",Rùa,Th?,G?u,Chó
495,Chu?t thu?c loài nào?,G?m nh?m,An t?p,An Th?t,An c?
496,Cây nào sau dây thu?c cây thân c??,Mía,Mít,?i,Bu?i
497,Th? h? vàng c?a bóng dá Vi?t Nam có c?u th? nào sau dây?,Lê Hu?nh Ð?c,Công Vinh,Van Quy?t,Anh Ð?c
498,Ðâu là tên c?a m?t hãng di?n tho?i?,Nokia,Nonokia,Onokia,Cokia
499,Ðâu không ph?i là tên c?a m?t hãng di?n tho?i?,GUCCI,Sam Sung,Apple,LG
500,Ngh? truy?n th?ng t? xua c?a ông cha ta là ngh? gì?,Tr?ng lúa nu?c,Tr?ng mía,Tr?ng chè,Tr?ng cà phê
501,Ð?n th? các v? Vua Hùng du?c d?t ? tình nào nu?c ta?,Phú Th?,Tuyên Quang,Ngh? An,Lâm Ð?ng
502,Bãi t?m C?a Lò thu?c T?nh nào c?a nu?c ta?,Ngh? An,Thanh Hóa,H?i Phòng,Quy Nhon
503,Khu du l?ch bán d?o Son Trà thu?c d?a ph?n t?nh nào?,Ðà N?ng,Hu?,Lâm Ð?ng,C?n Tho
504,Mai An Tiêm dã s?ng b?ng qu? gì khi ? trên d?o?,Dua h?u,Dua Lê,D?a,Mía
505,"Trong nh?ng nu?c sau, nu?c nào tr?ng nhi?u mía nh?t?",CuBa,Anh,Ð?c,M?
506,Thuong hi?u XMEN n?i ti?ng v? linh v?a nào?,M? Ph?m,Th?i trang,An u?ng,Công ngh?
507,Lo?i s?n ph?m nào sau dây không nên dùng?,Thu?c lá,Nu?c s?ch,Ðu?ng,Hoa qu?
508,MC d?u tiên d?n chuong trình Ai là Tri?u Phú d?u tiên ? Vi?t Nam?,L?i Van Sâm,Thanh Tùng,Nguyên Khang,Vi?t Anh
509,B?c tranh nào sau dây thu?c tranh Ðông H??,Ðám cu?i chu?t,Mùa thu,B?c tranh thu,Hoa hu?
510,098 là d?u s? c?a nhà m?ng nào sau dây?,Viettel,Mobifone,Vinaphone,S - phone
511,Trong nh?ng d?u s? sau d?u s? nào là c?a m?ng Mobifone?,Ð?u s? 090,Ð?u s? 098,Ð?u s? 091,Ð?u s? 099
512,Thánh gióng cu?i con gì bay lên tr?i sau khi dánh th?ng quân gi?c?,Ng?a,Trâu,L?c dà,L?a
513,Trong truy?n ng? ngôn Th? và Rùa. Rùa dã ch?y thi và th?ng con v?t nào?,Th?,Ng?a,?c sên,Sói
514,"Trong truy?n dân gian Vi?t Nam, Th? dã ch?y thi v?i con v?t nào?",Rùa,Chó,Ng?a,Voi
515,Làng g?m x? n?i ti?ng ? nu?c ta có tên g?i là gì?,Bát Tràng,L?c Tràng,C?u Trang,Ngu Tràng
516,Ðâu không ph?i là tên m?t môn th? thao?,C?u Ki?n,C?u Mây,C?u Lông,Khúc Côn C?u
517,Ði?n ti?p vào câu thành ng? d? ch? v? d?p: Chim sa cá ....?,L?n,N?i,Nh?y,Boi
518,Ði?n ti?p vào câu thành ng?: Con d?ng dông v?a trông v?a ...?,Ch?y,S?,Tr?n,T?m
519,Alibaba và bao nhiêu tên cu?p?,40,10,20,30
520,Ði?n ti?p vào câu thành ng?: Con ki?n mà ki?n ...?,C? khoai,Con voi,Ð?u g?i,H?p du?ng
521,Th? nào sau dây không an du?c?,Bánh xe,Bánh quy,Bánh Bao,Bánh m?t
522,Ði?n ti?p vào câu t?c ng?: An ... h?c hay?,Vóc,Nói,Ng?,No
523,Ði?n ti?p vào câu t?c ng?: Bán anh em xa mua ... g?n?,Láng gi?ng,V?,Cô gái,Ð? c?
524,Câu t?c ng?: Bán ph?n buôn huong d? ch??,Cô gái làng choi,Ngu?i bán ph?n,Ngu?i buôn huong,Ngu?i buôn bán hàng mã
525,"Ði?n vào ch? tr?ng: Ði v?i b?t m?c áo cà sa, di v?i ma m?c áo ...?",Áo gi?y,Áo dài,Áo l?a,Áo gió
526,"Ði?n ti?p vào câu t?c ng?: Ði m?t ngày dàng, ...?",H?c m?t sàng khôn,G?p toàn hàng ngon,M?t ru chân tay,V? toàn di?u xui
527,"Ði?n ti?p vào câu t?c ng?: Ðói cho s?ch, rách cho ...?",Thom,Lành,Vuông,No
528,"Ði?n ti?p vào câu t?c ng?: Ð?i cha an m?n, d?i con ...?",Khát nu?c,An nh?t,An cay,Ch?t dói
529,Ði?n ti?p vào câu t?c ng?: Ch?t ... còn hon s?ng nh?c?,Vinh,Trong,Xanh,Su?ng
530,Ði?n ti?p vào câu thành ng?: K? c?p g?p ...?,Bà già,Công an,Thuong binh,Nông dân
531,Ði?n ti?p vào câu t?c ng?: Lo bò ... rang?,Tr?ng,Ðen,Sáng,S?t
532,Ði?n ti?p vào câu t?c ng?: Không th?y d? mày ...?,Làm nên,H?c ai,D?y ai,Ði choi
533,"Ði?n ti?p vào câu t?c ng?: Khôn nhà, d?i ...?",Ch?,Vu?n,Tru?ng,C?a
534,Ði?n ti?p vào câu t?c ng?: M?t gi?t ... hon ao nu?c lã?,Máu dào,Axit,Bazo,Nu?c thánh
535,Ði?n ti?p vào câu t?c ng?: M?t ng?t ch?t ...?,Ru?i,Gián,Ong,Hoa
536,Ði?n ti?p vào câu t?c ng?: M?t n? cu?i b?ng mu?i ...?,Thang thu?c b?,Cái tát,Qu? d?m,Cái li?c
537,Ði?n ti?p vào câu t?c ng?: Mèo m? gà ...?,Ð?ng,M?,R?ng,Nhà
538,"Ði?n ti?p vào câu t?c ng?: M?t di?u nh?n, chín di?u ...?",Lành,Nh?c,T?c,H?n
539,Ði?n ti?p vào câu t?c ng?: Nu?c ch?y ...?,Ðá mòn,Thì mua,Thì u?t,Thành sông
540,"Ði?n ti?p vào câu t?c ng?: Nói có sách, mách có ...?",Ch?ng,V?,Ebook,Google
541,T?p tho Nh?t ký trong tù du?c H? Chí Minh vi?t b?ng ti?ng gì?,Ti?ng Hán,Ti?ng Vi?t,Ti?ng Nôm ,Ti?ng Anh 
542,Thành ng? thu?ng d?y: An ch?c m?c .... T? trong d?u ...  là gì?,B?n,Ð?p ,Sang , B?n 
543,Ngu?i ta thu?ng nói: Nói ngang nhu ...?,Cua,Gh?,Ng?ng,Heo
544,"Ði?n t? còn thi?u thích h?p: Thuý Ki?u là ... , ... là Thuý Vân?","Ch?, em","Em, ch?",Ch?,Em
545,"Ngu?i ta thu?ng nói: Ch? v?ng nhà, gà v?c niêu ...?",Tôm ,Chó ,Mèo,Cua
546,"? Vi?t Nam, mùa nào nóng nh?t trong nam?",H? ,Xuân ,Thu ,Ðông 
547,"Trong các con v?t sau dây, con nào thu?ng du?c ngu?i ta s? d?ng d? kéo cày?",Trâu ,Mèo,Gà,Chó 
548,Con v?t nào sau dây bi?t bay?,Chim ,?ch,Chó,Mèo
549,"T?t gì tr? em d?t dèn di choi kh?p ph? phu?ng, xóm làng?",T?t Trung Thu ,T?t Nguyên Ðán ,T?t Nguyên Tiêu ,T?t Hàn th?c
550,"T?c ng? có câu: Có công mài s?t, có ngày nên ...?",Kim ,Xà beng,Ngu?i ,Cao 
551,Ði?n vào câu t?c ng? sau: Phép ... thua l? làng?,Vua ,Quan ,Nu?c ,Dân 
552,Nhi?t d? sôi c?a nu?c tinh khi?t là bao nhiêu?,100 d? C,10 d? C,110 d? C,200 d? C
553,"Ði?n vào câu ca dao sau: Th?c lâu m?i bi?t dêm dài, ? lâu m?i bi?t ... ngu?i ch?ng ngay?",Lòng ,B?ng ,Tâm ,Trí 
554,Ði?n vào ch? tr?ng: An b?ng gói ...?,Ch?c ,Ch?t ,B?n ,L?ng 
555,"Ði?n vào ch? tr?ng: ... d?n noi, làm d?n ch?n?",An ,Choi ,? ,Nghi 
556,Ði?n vào ch? tr?ng: Còn nu?c còn ...?,Tát ,Ðánh ,Ð?m ,Ðá 
557,Ði?n vào ch? tr?ng: Chim sa ... l?n?,Cá ,Chu?t ,?ch ,Nhái 
558,Ði?n vào ch? tr?ng: Không m? thì ch? v?n ...?,Ðông ,V?ng,Vui ,Xôm 
559,Ði?n vào ch? tr?ng: Ngày lành ... t?t?,Tháng ,Tu?n ,Nam ,Gi? 
560,Ði?n vào ch? tr?ng: Có chí ... nên?,Thì ,M?i ,S? ,Là 
561,"Trong các th? t? sau dây, th? t? nào dúng v?i m?t câu thành ng??",Nhân vô th?p toàn ,Vô nhân th?p toàn ,Th?p toàn nhân vô,Th?p toàn vô nhân 
562,Thành ng? thu?ng nói: Ao sâu t?t ... . Hãy di?n vào t? còn thi?u?,Cá,Nu?c ,Lá ,B? 
563,Tóc ngu?i Vi?t Nam da s? có màu gì?,Màu den,Màu vàng,Màu nâu ,Màu d?
564,Quê huong c?a Bác H??,Ngh? An,Ngh? Tinh,Hà Tinh,Hà N?i
565,Ngu?i ta thu?ng nói: Lo ngo nhu ... d?i nón?,Bò ,Gà ,Kh? ,Mèo 
566,T?t c? truy?n cùa ngu?i Vi?t Nam di?n ra vào mùa nào trong nam?,Xuân ,H? ,Thu ,Ðông
567,"Trong các con v?t sau dây, con nào d? t?n nh?t?",Báo ,L?a ,Ng?a ,L?c dà 
568,"Trong các con v?t sau dây, con nào thu?ng du?c nuôi trong s? thú?",H? ,Chó ,Mèo ,L?n 
569,"Ði?n vào ch? tr?ng: Tr?i mua bong bóng ph?p ph?ng, m? di l?y ch?ng con ? v?i ...?",Ai ,Cha ,Ba ,B? 
570,"Trong các loài cây sau dây, loài cây nào s?ng lâu nam nh?t?",Cây da ,Cây b?ch dàn,Cây me tây ,Cây lúa 
571,Con v?t nào sau dây khác v?i 3 con còn l?i?,Bò ,Tôm ,Cua ,Nghêu 
572,"Ði?n vào câu t?c ng? sau: Cha m? sinh con, tr?i sinh ...?",Tính ,C? ,N?t ,Cây
573,"Ði?n vào câu t?c ng? sau: Thuong nhau ... cung tròn, ghét nhau  trái b? hòn cung méo?",Trái ?u ,Trái táo ,Trái g?c,Trái dua h?u
574,Ði?n vào ch? tr?ng: An bo làm ...?,Bi?ng ,Lu?i ,H?ng ,Li?u
575,Ði?n vào ch? tr?ng: An d?i ? ...?,Ki?p ,Lâu ,S? ,Ph?n 
576,Ði?n vào ch? tr?ng: Con ông ... cha?,Cháu ,H? ,M? ,Chú 
577,Ði?n vào ch? tr?ng: Có ... quên dèn?,Trang ,M?t tr?i ,Bóng ,Dây tóc 
578,Ði?n vào ch? tr?ng: Kh?u ph?t tâm ...?,Xà ,Ð?c ,Ð?a ,Lành 
579,Ði?n vào ch? tr?ng: Ném dá gi?u ...?,Tay ,Chân ,S?i ,L?a 
580,"Ði?n vào ch? tr?ng: ... ch?t d? da, ngu?i ta ch?t d? ti?ng?",Hùm ,H? ,Beo ,Báo 
581,"Trong các th? t? sau dây, th? t? nào dúng v?i m?t câu thành ng??",H?u danh vô th?c,Danh h?u th?c vô ,H?u danh th?c vô ,Danh h?u vô th?c
582,"Thành ng? có câu: Ai làm, ... ch?u. T? còn thi?u là?",N?y ,Ai ,Tôi ,Ph?i 
583,Cha ru?t c?a cha chúng ta g?i là gì?,Ông n?i,Ông ngo?i,Ông c?,Ông so
584,Huy?n Nam Ðàn thu?c t?nh nào c?a Vi?t Nam?,Ngh? An,Thanh Hoá,Ngh? Tinh,Hà Tinh
585,Ði?n vào câu t?c ng? sau: G?y ông d?p lung ...?,Ông ,Cháu ,Bà ,Con 
586,"Trong các ch?t sau dây, ch?t nào m?n nh?t?",Mu?i an ,Ðu?ng ,Tinh b?t ,Xà phòng 
587,"Trong các con v?t sau dây, con nào hi?n nh?t?",Huou ,H?,Sói ,Tê giác 
588,"Trong các con v?t sau dây, con nào thu?ng du?c nuôi d? l?y th?t?",L?n ,Chó ,Mèo ,Ng?a 
589,"Ngu?i ta thu?ng nói: C?u v?t thì v?t tr? ân, c?u nhân thì nhân tr? ...?",Oán ,Ðua ,Công ,Ti?n 
590,"Trong các loài cây sau dây, loài cây nào du?c xem là cây luong th?c?",Cây lúa ,Cây me tây ,Cây da ,Cây cao su 
591,Con v?t nào sau dây khác v?i 3 con còn l?i?,Tôm ,Sò ,Nghêu ,Ngao 
592,"Ði?n vào câu t?c ng? sau: V?ng dàn ông ... nhà, v?ng dàn bà qu?nh b?p?",Qu?nh ,L?nh ,Tr?ng ,X?u 
593,Ði?n vào ch? tr?ng: An b? ? ...?,B?i ,Ð?u ,Ch? ,Quán nét
594,Ði?n vào ch? tr?ng: An không ng?i ...?,R?i,Choi ,Có,Chán 
595,Ði?n vào ch? tr?ng: Con sâu làm ... n?i canh?,R?u ,B?n ,H?ng ,Ð? 
596,Ði?n vào ch? tr?ng: Ð?u du?ng xó ...?,Ch? ,Nhà ,B?p ,Búa
597,Ði?n vào ch? tr?ng: Khôn nhà ... ch??,D?i ,Khôn ,Ng?c ,Kh? 
598,"Ði?n vào ch? tr?ng: Nh?t t? vi su, ... t? vi su?",Bán ,Nh? ,Tam ,Mua 
599,"Trong các th? t? sau dây, th? t? nào dúng v?i m?t câu thành ng??",Ho? vô don chí,Vô don ho? chí,Ho? vô chí don ,Vô ho? chí don 
600,Thành ng? có câu: Anh em nhu th? .... Hãy di?n vào t? còn thi?u?,Tay chân,Ð?u tóc,M? côi ,H? hàng
601,Ði?n vào t? còn thi?u: G?n m?c thì den. G?n dèn thì ...?,Sáng,T?i,Cháy,Ð?t
602,H? Guom ? dâu?,Hà N?i,Hà Tinh,Hà Nam,Tp. H? Chí Minh
603,Ngu?i ta thu?ng nói: Xa m?t cách ...?,Lòng ,Tr? ,Tình ,Bi?t
604,"Trong các ch?t sau dây, ch?t nào ng?t nh?t?",Ðu?ng ,Mu?i an ,Nu?c mua ,Nu?c bi?n 
605,"Trong các con v?t sau dây, con nào có nanh vu?t?",H? ,L?a ,Ng?a ,Huou 
606,"Trong các con v?t sau dây, con nào thu?ng du?c nuôi trong nhà?",Chó ,L?n ,Ng?a ,L?a 
607,"Ði?n t? còn thi?u: Công cha nhu núi ng?t tr?i, nghia m? nhu nu?c ng?i ng?i ...?",Bi?n Ðông ,Ð?i bàng ,Su?i sông ,Bi?n c? 
608,"Trong các loài cây sau dây, loài cây nào cho m? d? s?n xu?t sam xe?",Cây cao su ,Cây me tây ,Cây bông ,Cây b?ch dàn 
609,Nu?c tinh khi?t sôi ? bao nhiêu d??,100 d? C,70 d? C,80 d? C ,90 d? C 
610,Ði?n vào câu t?c ng? sau: Có ... mua tiên cung du?c?,Ti?n ,Vàng ,B?c ,Kim cuong 
611,"Ði?n vào câu t?c ng? sau: Ta v? ta t?m ao ... , dù trong dù d?c ao nhà v?n hon?",Ta ,Mình ,Xua ,Quen 
612,"Ði?n vào ch? tr?ng: An b?t d?i, nói b?t ...?",L?i ,Câu ,Ti?ng ,V?n 
613,"Ði?n vào ch? tr?ng: An không ngon, ng? không ...?",Yên ,T?t ,Su?ng ,Nhi?u 
614,Ði?n vào ch? tr?ng: Cha nào con ...?,N?y ,Nhu th? ,Ðó ,Khác 
615,Ði?n vào ch? tr?ng: Ð?t r?ng tr?i ...?,Cao,To ,R?ng ,Xa
616,Ði?n vào ch? tr?ng: Lá lành ... lá rách?,Ðùm ,B?c ,Dán ,Giúp 
617,"Ði?n vào ch? tr?ng: ? b?u thì tròn, ? ?ng thì ...?",Dài ,D?t ,B?p ,Vuông 
618,"Trong các th? t? sau dây, th? t? nào dúng v?i m?t câu thành ng??",Kh?u ph?t tâm xà,Kh?u xà ph?t tâm ,Tâm xà ph?t kh?u,Tâm ph?t kh?u xà
619,Ðon v? ti?n t? c?a ngu?i Vi?t Nam hi?n dang s? d?ng là gì?,Ð?ng,Xu,Hào,C?c
620,H? Chí Minh t?ng là gì d?i v?i d?t nu?c Vi?t Nam?,Ch? t?ch nu?c,T?ng bí thu,Th? tu?ng,Nhà ngo?i c?m
621,"Mu?n sang ph?i b?c c?u ki?u, mu?n con hay ch? ph?i yêu l?y... Hãy di?n t? còn thi?u trong d?u 3 ch?m?",Th?y,B?n,Cha,M?
622,Ði?n vào ch? tr?ng: Công cha nhu núi Thái Son. Nghia m? nhu nu?c trong ngu?n ch?y ...?,Ra ,Ði ,Ð?n ,Vô 
623,"Trong các lo?i qu? sau dây, qu? nào chua nh?t?", Qu? chanh ,Qu? cam ,Qu? m?n ,Qu? ?t
624,Ai là ngu?i d?n chuong trình Ð?u Tru?ng 100 nam 2012?,Thái Tu?n,Vi?t Anh,Tùng Chi,Vi?t Khuê
625,"Trong các loài chim sau dây, loài chim nào có kh? nang dua thu?",Chim b? câu ,Chim d?i bàng ,Chim son ca ,Chim chích choè 
626,Câu chuy?n bó dua mu?n khuyên ta di?u gì?,S? dùm b?c,S? nh?n n?i ,S? nhu?ng nh?n ,Qu?ng cáo dua
627,"Trong các loài cây sau dây, loài cây nào có kh? nang s?ng ? sa m?c?",Cây xuong r?ng ,Cây b?ch dàn ,Cây d?u tuong ,Cây cao su 
628,Ði?n vào câu t?c ng? sau: Cái khó ... cái khôn?,Ló ,B?,Có ,Gi?ng 
629,"Ði?n vào câu t?c ng? sau: Con có cha nhu nhà có nóc, con không cha nhu ... d?t duôi?",Nòng n?c ,Th?ch sùng ,Th?n l?n ,?u trùng 
630,"Ði?n vào câu t?c ng? sau: Tr? c?y ..., già c?y con?",Cha ,M? ,Ông ,Bà 
631,Ði?n vào ch? tr?ng: An b?t an ...?,Xén ,Kém ,Thua ,Xin 
632,Ði?n vào ch? tr?ng: An nên làm ...?,Ra ,Mãi,T?t ,?n
633,Ði?n vào ch? tr?ng: Chân u?t chân ...?,Ráo ,Khô ,Ð?t ,N? 
634,Ði?n vào ch? tr?ng: Ði?c không s? ...?,Súng ,Pháo ,Còi ,Ð?i bác 
635,Ði?n vào ch? tr?ng: Lá r?ng v? ...?,C?i ,G?c ,Nhà ,B?n 
636,Ði?n vào ch? tr?ng: Qua ... rút ván?,C?u ,Sông ,Su?i ,Ðu?ng 
637,"Trong các lo?i nem du?i dây, lo?i nào không có th?t?",Nem công ch? phu?ng,Nem chua,Nem tai,Bánh da nem
638,Ngày 01 tháng 01 âm l?ch là ngày gì c?a ngu?i Vi?t Nam?,T?t Nguyên Ðán ,T?t Nguyên Tiêu,T?t Trung Thu ,T?t Hàn Th?c 
639,Qu?n d?o Hoàng Sa và qu?n d?o Tru?ng Sa thu?c ch? quy?n c?a qu?c gia nào?,Vi?t Nam,Campuchia,Phillippines,Indonesia
640,M?t trong nh?ng can b?nh chua có thu?c d?c tr? hi?n nay?,AIDS,S?t rét,Phong,S?i 
641,"Trong các qu? sau dây, qu? nào to hon các qu? còn l?i?",Qu? bu?i ,Qu? m?n ,Qu? xoài ,Qu? h?nh 
642,"Trong các con v?t sau dây, con nào có ngà?",Voi ,Trâu ,Dê r?ng ,H? 
643,"Trong các loài chim sau dây, loài chim nào có ti?ng hót thánh thót nh?t?",Chim son ca ,Chim se s? ,Chim b? câu ,Chim gõ ki?n 
644,"Trong các loài cây sau dây, loài cây nào là bi?u tu?ng c?a tu?i h?c trò?",Cây phu?ng ,Cây me tây ,Cây b?ch dàn ,Cây duong s? 
645,Ði?n vào câu t?c ng? sau: Cái n?t dánh ch?t ...?,Cái d?p ,Cái t?t ,Cái x?u ,Cái ngu 
646,"Ði?n vào câu t?c ng? sau: Con hu ... m?, cháu hu t?i bà?",T?i ,Vì ,Do ,Cho 
647,"Ði?n vào ch? tr?ng: Trai khôn tìm v? ...., gái khôn tìm ch?ng gi?a ch?n ba quân?",Ch? dông ,Ch? b?c ,Ch? búa ,Ngu?i ta 
648,Ði?n vào ch? tr?ng: An cháo dá ...?,Bát ,Niêu ,N?i ,Xoong 
649,Ði?n vào ch? tr?ng: An mi?ng ... mi?ng?,Tr? ,Nu?t ,Làm ,Gi? 
650,Ði?n vào ch? tr?ng: Chân c?ng ... m?m?,Ðá ,Tay ,S?i ,Cát 
651,Ði?n vào ch? tr?ng: Ðu?c voi dòi ...?,Tiên ,H? ,Ti?n ,Báo
652,Ði?n vào ch? tr?ng: L?i an ti?ng ...?,Nói ,Hát ,Cu?i ,Khóc 
653,Ði?n vào ch? tr?ng: Ru?t d? ... da?,Ngoài ,C?nh ,Trong,G?n 
654,"Trong các th? t? sau dây, th? t? nào dúng v?i m?t câu thành ng??",Nh?t c? lu?ng ti?n ,C? lu?ng ti?n nh?t,Ti?n c? nh?t lu?ng ,Ti?n c? lu?ng nh?t
655,Trên d?ng h? v? trí nào mà 3 kim gi? phút giây có th? d?ng th?i ? m?t ch?,12h,9h,6h,3h
656,Khí nào c?n thi?t cho s? s?ng c?a con ngu?i?,Oxi,Hidro,Nito,Clo 
657,Tr?n nào du?c coi là tr?n d?u cu?i cùng c?a m?t gi?i d?u?,Tr?n chung k?t,Tr?n bán k?t,Tr?n tranh h?ng 3,Tr?n play  off 
658,Con v?t nào sau dây không có hàm rang trên?,Trâu,Ng?a,Th?,L?a
659,Cho bi?t th? t? nào sau dây là dúng nh?t?,"Xuân, h?, thu, dông ","H?, dông, xuân, thu ","Xuân, h?, dông, xuân ","Xuân, thu, h?, dông "
660,"Trong các con v?t sau dây, con nào không di chuy?n b?ng chân?",R?n ,Chó ,Voi ,Rùa 
661,"Trong các loài chim sau, loài nào du?c coi là bi?u tu?ng c?a hòa bình?",Chim B? Câu,Chim Sáo,Chim Vàng Anh,Chim Cu Gáy
662,"Ði?n vào ch? tr?ng: Gia dình ch? m?t ... con, ?m no h?nh phúc nu?c non m?nh giàu?",Hai ,Ba ,Nam ,Ð?a 
663,Loài cây nào sau dây h?u nhu là không có lá?,Cây xuong r?ng ,Cây me tây ,Cây phu?ng ,Cây bàng 
664,"Ði?n vào câu t?c ng? sau: Cái rang, cái ... là góc con ngu?i?",Tóc ,Óc ,Tai ,Tay 
665,"Ði?n vào ch? tr?ng: Cu?i ngu?i ch? v?i cu?i lâu. Cu?i ngu?i hôm tru?c, hôm sau ngu?i ...?",Cu?i ,Khóc,M?u ,Gi?n
666,"Ði?n vào câu t?c ng? sau: Nhà s?ch thì mát, bát s?ch ngon ...?",Com ,Th?c an ,Hon ,Xôi 
667,Ði?n vào ch? tr?ng: An com ... k?ng?,Tru?c ,Sau ,Cùng ,Bên 
668,Ði?n vào ch? tr?ng: An ... m?c tron?,Tr?ng ,L?m ,Nhi?u ,Ngon 
669,Ði?n vào ch? tr?ng: ... dá xe?,Châu ch?u ,Cào cào ,B? ng?a,Buom bu?m 
670,Ði?n vào ch? tr?ng: ?ch ng?i dáy ...?,Gi?ng ,Ao ,Bát ,H? 
671,Ði?n vào ch? tr?ng: Lòng lang d? ...?,Sói ,H? ,Báo ,Th? 
672,Ði?n vào ch? tr?ng: Ru?ng sâu trâu nái không b?ng ... d?u lòng?,Con gái  ,Con trai ,Gà mái ,L?n nái
673,"Trong các th? t? sau dây, th? t? nào dúng v?i m?t câu thành ng??",U?ng nu?c nh? ngu?n ,U?ng ngu?n nh? nu?c,Nu?c ngu?n nh? u?ng,Nu?c u?ng nh? ngu?n
674,"? Vi?t Nam, dân t?c nào có s? ngu?i dông nh?t?",Kinh,Tày,Nùng,Khome
675,Ch?t nào không gây h?i cho s?c kho? con ngu?i trong các ch?t sau dây?,Nu?c cam,Thu?c lá ,Ma tuý,Ru?u 
676,Không có vi?c gì khó. Ch? s? lòng không b?n là 2 câu tho c?a tác gi? nào?,H? Chí Minh ,Võ Nguyên Giáp,Ph?m Van Ð?ng,Tr?n Ð?c Luong
677,Trái d?t t? quay quanh mình m?t bao nhiêu gi??,24 gi? ,1 gi? ,12 gi? ,36 gi? 
678,Trong tù không ru?u cung không .... Hãy di?n ti?p vào t? còn thi?u?,Hoa ,Sao ,Mua ,Trang 
